artist,name,year,decade,score,songentry_pos,songyear_pos,songdecade_pos,energy,instrumentalness,valence,tempo
Britney Spears,Oops!... I Did it Again,2000,00s,17.624,298,4,60,0.834,1.77E-05,0.894,95.053
N Sync,"Bye, Bye, Bye",2000,00s,17.329,307,5,61,0.926,0.0012,0.861,172.638
Santana,Maria Maria,2000,00s,16.185,370,6,73,0.601,0.00201,0.68,97.911
Madonna,American Pie,2000,00s,14.452,515,7,91,0.734,0,0.591,124.036
Eminem,The Real Slim Shady,2000,00s,14.328,528,8,95,0.661,0,0.76,104.504
Bon Jovi,It's My Life,2000,00s,14.005,566,9,,0.913,1.35E-05,0.544,119.992
The Backstreet Boys,Shape of My Heart,2000,00s,13.514,631,10,,0.786,0,0.518,96.102
Kylie Minogue,Can't Get You Out of My Head,2001,00s,25.843,52,1,9,0.578,5.49E-06,0.459,137.013
"Christina Aguilera, Lil' Kim, Mya & Pink",Lady Marmalade (Voulez-Vous Coucher Aver Moi Ce Soir?),2001,00s,22.366,121,2,26,0.808,3.67E-06,0.638,109.902
Alicia Keys,Fallin',2001,00s,18.565,248,3,51,0.609,0.00101,0.482,95.982
Shaggy & Ricardo 'RikRok' Ducent,It Wasn't Me,2001,00s,17.267,309,4,62,0.606,0,0.654,94.759
LeAnn Rimes,Can't Fight the Moonlight,2001,00s,17.226,312,5,63,0.834,0,0.626,97.865
Shaggy,Angel,2001,00s,17.089,322,6,64,0.766,0,0.807,170.531
OutKast,Ms Jackson,2001,00s,16.932,329,7,66,0.805,0,0.615,94.946
Enrique Iglesias,Hero,2001,00s,15.89,386,8,75,0.651,1.05E-05,0.146,151.959
Jennifer Lopez,Love Don't Cost a Thing,2001,00s,14.959,459,9,84,0.842,3.54E-06,0.685,97.577
Uncle Kracker,Follow Me,2001,00s,14.619,501,10,88,0.585,0,0.916,105.014
Eminem,Lose Yourself,2002,00s,30.831,17,1,3,0.744,0.000423,0.0612,171.374
Eminem,Without Me,2002,00s,26.818,41,2,7,0.669,0,0.662,112.238
Shakira,"Whenever, Wherever",2002,00s,24.26,76,3,16,0.832,1.12E-05,0.872,107.661
Nelly & Kelly Rowland,Dilemma,2002,00s,23.578,89,4,18,0.536,8.13E-05,0.589,168.143
Nickelback,How You Remind Me,2002,00s,22.496,117,5,24,0.764,0,0.543,172.094
Las Ketchup,The Ketchup Song (Asereje),2002,00s,22.143,126,6,28,0.923,1.10E-06,0.868,184.819
Avril Lavigne,Complicated,2002,00s,19.785,186,7,39,0.776,7.74E-06,0.427,77.987
Pink,Get the Party Started,2002,00s,19.312,212,8,43,0.904,0,0.961,128.931
Elvis Presley & JXL,A Little Less Conversation,2002,00s,17.92,282,9,58,0.763,3.07E-06,0.823,115.754
Vanessa Carlton,A Thousand Miles,2002,00s,15.576,416,10,78,0.825,0,0.268,94.931
OutKast,Hey Ya!,2003,00s,25.767,55,1,10,0.974,0.000532,0.965,79.526
50 Cent,In Da Club,2003,00s,25.628,56,2,11,0.72,0,0.805,90.059
The Black Eyed Peas,Where is the Love?,2003,00s,25.482,59,3,12,0.696,0,0.804,94.09
Beyonce,Crazy in Love,2003,00s,22.371,120,4,25,0.77,0,0.681,99.165
t.A.T.u.,All the Things She Said,2003,00s,21.812,132,5,29,0.834,0.00609,0.376,89.956
Evanescence,Bring Me to Life,2003,00s,18.951,224,6,46,0.943,2.06E-06,0.296,94.612
The Black Eyed Peas,Shut Up,2003,00s,18.826,230,7,48,0.716,0,0.574,112.962
Christina Aguilera,Beautiful,2003,00s,18.027,275,8,55,0.573,3.05E-06,0.0992,76.193
Dido,White Flag,2003,00s,17.081,323,9,65,0.538,5.03E-06,0.284,170.111
R Kelly,Ignition,2003,00s,14.14,551,10,99,0.523,0,0.855,133.024
Usher,Yeah!,2004,00s,31.263,13,1,1,0.791,0,0.583,105.018
Britney Spears,Toxic,2004,00s,19.599,195,2,40,0.838,0.025,0.924,143.04
Eamon,F**k it (I Don't Want You Back),2004,00s,18.946,225,3,47,0.917,0.0449,0.506,130.008
Destiny's Child,Lose My Breath,2004,00s,16.205,368,4,71,0.899,0.219,0.545,119.011
Eminem,Just Lose It,2004,00s,15.043,455,5,83,0.633,4.04E-05,0.962,121.003
D12,My Band,2004,00s,14.576,507,6,89,0.854,2.29E-06,0.876,120.024
O-Zone,Dragostea Din Tei,2004,00s,14.231,541,7,97,0.968,0,0.706,130.093
U2,Vertigo,2004,00s,13.857,584,8,,0.819,0.00108,0.632,140.083
Snoop Dogg & Pharrell Williams,Drop it Like It's Hot,2004,00s,13.11,681,9,,0.549,0,0.629,91.987
Maroon 5,She Will Be Loved,2004,00s,13.018,693,10,,0.674,0,0.576,102.05
Madonna,Hung Up,2005,00s,25.042,65,1,14,0.647,0.161,0.405,125.02
The Pussycat Dolls,Don't Cha,2005,00s,22.946,104,2,21,0.637,2.50E-06,0.569,119.988
James Blunt,You're Beautiful,2005,00s,21.497,143,3,31,0.183,0.928,0.218,78.936
Akon,Lonely,2005,00s,19.259,215,4,44,0.496,0,0.586,90.075
Mariah Carey,We Belong Together,2005,00s,18.537,251,5,52,0.462,0,0.762,139.986
Daniel Powter,Bad Day,2005,00s,17.993,279,6,56,0.785,0.00336,0.52,140.046
Green Day,Boulevard of Broken Dreams,2005,00s,17.977,280,7,57,0.682,2.94E-05,0.474,167.06
Mario,Let Me Love You,2005,00s,16.914,331,8,67,0.578,0,0.556,94.514
Kanye West & Jamie Foxx,Gold Digger,2005,00s,16.785,342,9,69,0.696,0,0.621,92.941
The Black Eyed Peas,Don't Phunk With My Heart,2005,00s,16.349,361,10,70,0.929,0,0.609,130.899
Shakira & Wyclef Jean,Hips don't lie,2006,00s,26.066,51,1,8,0.824,0,0.756,100.024
Justin Timberlake,Sexyback,2006,00s,24.957,67,2,15,0.583,0,0.964,117
Gnarls Barkley,Crazy,2006,00s,21.573,136,3,30,0.741,0.0577,0.612,111.963
Beyonce,Irreplaceable,2006,00s,20.452,164,4,36,0.694,5.46E-06,0.509,175.868
Nelly Furtado & Timbaland,Promiscuous,2006,00s,17.886,283,5,59,0.978,8.29E-05,0.843,114.321
The Scissor Sisters,I Don't Feel Like Dancin',2006,00s,15.331,439,6,81,0.917,0,0.83,108.031
Akon,Smack That,2006,00s,15.26,443,7,82,0.742,0,0.924,118.978
Rihanna,SOS (Rescue Me),2006,00s,14.655,495,8,87,0.671,5.07E-05,0.527,137.046
Christina Aguilera,Ain't No Other Man,2006,00s,14.382,522,9,94,0.742,0.00855,0.511,127.91
Red Hot Chili Peppers,Dani California,2006,00s,13.603,616,10,,0.913,8.59E-06,0.73,96.184
Rihanna & Jay-Z,Umbrella,2007,00s,29.576,23,1,4,0.829,0,0.575,174.028
Fergie,Big Girls Don't Cry,2007,00s,23.027,102,2,20,0.641,0,0.253,113.082
Timbaland & OneRepublic,Apologize,2007,00s,22.718,110,3,23,0.604,0,0.101,118.016
Sean Kingston,Beautiful Girls,2007,00s,22.27,124,4,27,0.661,0,0.769,130.009
Avril Lavigne,Girlfriend,2007,00s,20.323,167,5,37,0.959,0.000206,0.67,163.983
Beyonce & Shakira,Beautiful Liar,2007,00s,19.316,211,6,42,0.751,0.000237,0.418,91.977
Alicia Keys,No One,2007,00s,18.78,234,7,50,0.548,8.68E-06,0.166,90.042
Rihanna,Don't Stop the Music,2007,00s,18.403,257,8,53,0.669,6.92E-05,0.542,122.668
Nelly Furtado,Say It Right,2007,00s,16.909,333,9,68,0.869,0.00111,0.834,116.951
Kanye West,Stronger,2007,00s,16.102,375,10,74,0.717,0,0.49,103.992
Leona Lewis,Bleeding Love,2008,00s,29.319,24,1,5,0.656,0,0.225,104.036
Katy Perry,I Kissed A Girl,2008,00s,25.327,62,2,13,0.76,0,0.696,129.996
Flo-Rida & T-Pain,Low,2008,00s,23.911,84,3,17,0.609,0,0.304,128.008
Pink,So What,2008,00s,20.862,155,4,33,0.87,0,0.462,126.019
Lady GaGa & Colby O'Donis,Just Dance,2008,00s,20.592,163,5,35,0.737,4.19E-05,0.753,118.994
Madonna & Justin Timberlake,Four Minutes,2008,00s,19.342,209,6,41,0.931,0.00696,0.767,113.029
Katy Perry,Hot 'n' cold,2008,00s,18.78,233,7,49,0.841,0,0.861,132.032
Jason Mraz,I am Yours,2008,00s,15.59,414,8,77,0.457,0,0.718,150.953
Kid Rock,All summer long,2008,00s,15.369,436,9,80,0.864,0,0.887,102.997
Coldplay,Viva La Vida,2008,00s,14.87,468,10,85,0.619,3.31E-06,0.416,138.017
Lady GaGa,Poker Face,2009,00s,30.835,16,1,2,0.806,1.33E-06,0.776,119.001
The Black Eyed Peas,I Gotta Feeling,2009,00s,27.967,32,2,6,0.766,0,0.61,127.96
Lady GaGa,Bad Romance,2009,00s,23.137,99,3,19,0.921,5.24E-05,0.714,119.001
David Guetta & Akon,Sexy Chick (sexy Bitch),2009,00s,21.205,149,4,32,0.562,0.000418,0.798,130.003
The Black Eyed Peas,Boom Boom Pow,2009,00s,19.786,184,5,38,0.86,0.00233,0.407,130.051
Flo-Rida & Ke$ha,Right Round,2009,00s,19.087,220,6,45,0.802,0,0.734,124.977
The Black Eyed Peas,Meet Me Half Way,2009,00s,15.509,422,7,79,0.629,2.17E-05,0.4,130
Beyonce,Single Ladies (Put A Ring On It),2009,00s,14.451,516,8,92,0.584,0,0.272,193.437
Beyonce,Halo,2009,00s,13.958,570,9,,0.72,0,0.472,79.983
Jay-Z & Alicia Keys,Empire State Of Mind,2009,00s,13.699,606,10,,0.956,0,0.811,173.585
Ke$ha,Tik-Toc,2010,10s,22.175,125,1,2,0.837,0,0.714,120.028
Eminem & Rihanna,Love The Way You Lie,2010,10s,18.577,246,2,5,0.925,0,0.641,86.989
Bruno Mars,Just the Way You Are,2010,10s,16.521,354,3,7,0.843,0,0.434,109.012
Katy Perry,Firework,2010,10s,15.795,396,4,8,0.826,0,0.649,124.072
Katy Perry & Snoop Dogg,California Gurls,2010,10s,15.436,429,5,10,0.753,0,0.403,125.005
Rihanna,Only girl (in the world),2010,10s,15.244,446,6,12,0.716,1.72E-05,0.595,125.921
Taio Cruz,Dynamite,2010,10s,14.933,460,7,14,0.804,0,0.818,119.968
Owl City,Fireflies,2010,10s,14.295,532,8,16,0.661,0,0.461,180.118
The Black Eyed Peas,The Time (Dirty Bit),2010,10s,13.659,613,9,18,0.813,2.77E-06,0.436,127.979
Katy Perry,Teenage Dream,2010,10s,12.851,721,10,20,0.804,3.02E-06,0.605,119.999
Rihanna & Calvin Harris,We Found Love,2011,10s,22.418,119,1,1,0.766,0.00138,0.6,127.986
LMFAO,Party Rock Anthem,2011,10s,19.732,188,2,3,0.727,0,0.359,129.993
Adele,Rolling In The Deep,2011,10s,18.69,238,3,4,0.756,0,0.522,104.945
Bruno Mars,Grenade,2011,10s,17.677,294,4,6,0.558,0,0.227,110.443
Lady GaGa,Born This Way,2011,10s,15.456,427,5,9,0.837,0,0.445,123.879
Jennifer Lopez & Pitbull,On The Floor,2011,10s,15.346,437,6,11,0.777,0.000467,0.591,130
Maroon 5 & Christina Aguilera,Moves Like Jagger,2011,10s,15.233,448,7,13,0.76,0,0.627,128.018
Adele,Someone Like You,2011,10s,13.966,567,8,17,0.33,0,0.285,135.109
"Pitbull, Ne-Yo, Afrojack & Nayer",Give Me Everything,2011,10s,13.595,618,9,19,0.939,0,0.529,129.023
Katy Perry & Kanye West,E.T.,2011,10s,11.27,991,10,26,0.877,0,0.778,151.6
Gotye & Kimbra,Somebody That I Used to Know,2012,10s,14.593,505,1,15,0.495,0.000133,0.72,129.062
Carly Rae Jepsen,Call Me Maybe,2012,10s,12.829,723,2,21,0.58,2.28E-06,0.66,120.021
PSY,Gangnam Style,2012,10s,10.183,,3,31,0.937,0,0.749,132.067
fun.,We Are Young,2012,10s,9.301,,4,38,0.638,7.66E-05,0.735,184.086
Rihanna,Diamonds,2012,10s,9.297,,5,39,0.71,0,0.393,91.972
Flo-Rida,Whistle,2012,10s,9.159,,6,40,0.937,0,0.739,103.976
Adele,Skyfall,2012,10s,9.146,,7,41,0.552,0,0.0789,75.881
Flo-Rida,Good Feeling,2012,10s,8.931,,8,45,0.89,0.00286,0.684,128.011
Bruno Mars,Locked Out Of Heaven,2012,10s,8.668,,9,48,0.698,0,0.867,143.994
Maroon 5 & Wiz Khalifa,Payphone,2012,10s,7.206,,10,69,0.756,0,0.523,110.028
"Robin Thicke, T.I. & Pharrell Williams",Blurred Lines,2013,10s,9.767,,1,34,0.504,1.78E-05,0.881,120
Macklemore & Ryan Lewis,Thrift Shop,2013,10s,7.928,,2,55,0.525,0,0.699,94.949
will.i.am & Britney Spears,Scream & Shout,2013,10s,7.653,,3,60,0.685,8.96E-05,0.501,130.033
Avicii,Wake Me Up,2013,10s,7.58,,4,62,0.783,0.0012,0.643,124.08
Pink & Nate Ruess,Just Give Me a Reason,2013,10s,7.336,,5,64,0.547,0.000302,0.441,95.002
Lorde,Royals,2013,10s,7.247,,6,66,0.428,0,0.337,84.878
Katy Perry,Roar,2013,10s,7.139,,7,71,0.772,6.60E-06,0.455,179.984
Eminem & Rihanna,The Monster,2013,10s,6.517,,8,91,0.853,0,0.624,110.049
Daft Punk & Pharrell Williams,Get Lucky,2013,10s,6.509,,9,93,0.793,1.82E-06,0.863,116.049
Miley Cyrus,Wrecking Ball,2013,10s,5.857,,10,,0.422,0,0.349,119.964
Pharrell Williams,Happy,2014,10s,7.238,,1,67,0.822,0,0.962,160.019
Meghan Trainor,All About That Bass,2014,10s,6.038,,2,,0.887,2.87E-06,0.961,134.052
Sam Smith,Stay With Me,2014,10s,5.403,,3,,0.42,6.39E-05,0.184,84.094
Clean Bandit & Jess Glynne,Rather Be,2014,10s,5.058,,4,,0.586,2.03E-06,0.549,120.97
Lilly Wood & The Prick & Robin Schulz,PRAYER IN C,2014,10s,4.452,,5,,0.875,5.41E-06,0.8,123.013
Taylor Swift,Shake it Off,2014,10s,4.417,,6,,0.785,0,0.943,160.02
Ariana Grande & Iggy Azalea,Problem,2014,10s,4.09,,7,,0.805,8.83E-06,0.625,103.008
Nico & Vinz,Am I Wrong,2014,10s,4.008,,8,,0.68,2.13E-06,0.76,119.939
Ed Sheeran,Sing,2014,10s,3.877,,9,,0.67,1.22E-06,0.939,119.988
Iggy Azalea & Charli XCX,Fancy,2014,10s,3.877,,10,,0.716,0,0.377,94.981
Adele,Hello,2015,10s,6.515,,1,92,0.451,0,0.289,157.966
Mark Ronson & Bruno Mars,UPTOWN FUNK,2015,10s,6.33,,2,100,0.609,8.15E-05,0.928,114.988
Wiz Khalifa & Charlie Puth,See You Again,2015,10s,5.76,,3,,0.481,1.03E-06,0.283,80.025
Ellie Goulding,Love Me Like You Do,2015,10s,4.801,,4,,0.606,0,0.275,189.857
Ed Sheeran,Thinking Out Loud,2015,10s,4.779,,5,,0.445,0,0.591,78.998
Justin Bieber,What Do You Mean?,2015,10s,4.312,,6,,0.567,0.00142,0.793,125.02
OMI,Cheerleader,2015,10s,4.22,,7,,0.68,0.000012,0.594,118.026
Major Lazer & DJ Snake,Lean On,2015,10s,3.92,,8,,0.809,0.00123,0.274,98.007
The Weeknd,Can't Feel My Face,2015,10s,3.703,,9,,0.769,0,0.59,107.939
Taylor Swift & Kendrick Lamar,Bad Blood,2015,10s,3.305,,10,,0.802,6.45E-06,0.295,170.157
"Drake, Wizkid & Kyla",One Dance,2016,10s,4.893,,1,,0.625,0.00188,0.37,103.967
Sia & Sean Paul,Cheap Thrills,2016,10s,4.343,,2,,0.698,0.00143,0.732,89.976
Justin Bieber,Sorry,2016,10s,4.332,,3,,0.76,0,0.41,99.945
Justin Bieber,Love Yourself,2016,10s,4.29,,4,,0.367,0,0.539,100.171
The Chainsmokers & Halsey,Closer,2016,10s,4.287,,5,,0.524,0,0.661,95.01
Justin Timberlake,Can't Stop The Feeling,2016,10s,4.218,,6,,0.83,0,0.701,113.03
"Major Lazer, Justin Bieber & MO",Cold Water,2016,10s,4.151,,7,,0.798,0,0.501,92.943
Lukas Graham,Seven Years,2016,10s,3.921,,8,,0.473,0,0.34,119.992
DJ Snake & Justin Bieber,Let Me Love You,2016,10s,3.621,,9,,0.716,2.63E-05,0.163,99.988
The Weeknd & Daft Punk,Starboy,2016,10s,3.263,,10,,0.587,6.35E-06,0.486,186.003
Ed Sheeran,Shape of You,2017,10s,4.901,,1,,0.652,0,0.931,95.977
Luis Fonsi & Daddy Yankee,Despacito,2017,10s,4.577,,2,,0.797,0,0.839,177.928
"Clean Bandit, Sean Paul & Anne-Marie",Rockabye,2017,10s,4.193,,3,,0.763,0,0.724,101.965
Post Malone & 21 Savage,Rockstar,2017,10s,3.175,,4,,0.52,7.01E-05,0.129,159.801
Bruno Mars,24K Magic,2017,10s,2.702,,5,,0.803,0,0.632,106.97
Kendrick Lamar,Humble,2017,10s,2.523,,6,,0.621,5.39E-05,0.421,150.011
Taylor Swift,Look What You Made Me Do,2017,10s,2.312,,7,,0.709,1.41E-05,0.506,128.07
Bruno Mars,That's What I Like,2017,10s,2.266,,8,,0.556,0,0.843,134.031
The Weeknd & Daft Punk,I Feel It Coming,2017,10s,2.071,,9,,0.819,0,0.585,92.987
"DJ Khaled, Justin Bieber, Quavo, Chance The Rapper & Lil Wayne",I'm the One,2017,10s,1.961,,10,,0.668,0,0.811,80.924
Drake,God's Plan,2018,10s,4.631,,1,,0.449,8.29E-05,0.357,77.169
Ed Sheeran,Perfect,2018,10s,3.428,,2,,0.448,0,0.168,95.05
Lady Gaga & Bradley Cooper,Shallow,2018,10s,3.248,,3,,0.385,0,0.323,95.799
Ariana Grande,"Thank U, Next",2018,10s,3.154,,4,,0.653,0,0.412,106.966
Childish Gambino,This Is America,2018,10s,2.923,,5,,0.463,0,0.549,120.024
Clean Bandit & Demi Lovato,Solo,2018,10s,2.793,,6,,0.636,6.66E-05,0.565,105.005
Camila Cabello & Young Thug,Havana,2018,10s,2.745,,7,,0.523,3.56E-05,0.394,104.988
Kanye West & Lil Pump,I Love It,2018,10s,2.544,,8,,0.522,0,0.329,104.053
Calvin Harris & Dua Lipa,One Kiss,2018,10s,2.456,,9,,0.862,2.19E-05,0.592,123.994
Maroon 5 & Cardi B,Girls Like You,2018,10s,2.267,,10,,0.541,0,0.488,124.959
