artist,name,year,score,songentry_pos,songyear_pos,songdecade_pos,energy,instrumentalness,valence,tempo,,70s,artist,name,year,score,songentry_pos,songyear_pos,songdecade_pos,energy,instrumentalness,valence,tempo,,,80s,artist,name,year,score,songentry_pos,songyear_pos,songdecade_pos,energy,instrumentalness,valence,tempo,,,90s,artist,name,year,score,songentry_pos,songyear_pos,songdecade_pos,energy,instrumentalness,valence,tempo,,,00's,artist,name,year,score,songentry_pos,songyear_pos,songdecade_pos,energy,instrumentalness,valence,tempo,,,10's,artist,name,year,score,songentry_pos,songyear_pos,songdecade_pos,energy,instrumentalness,valence,tempo
The Weeknd & Daft Punk,I Feel It Coming,2017,2.071,,9,,0.819,0,0.585,92.987,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"DJ Khaled, Justin Bieber, Quavo, Chance The Rapper & Lil Wayne",I'm the One,2017,1.961,,10,,0.668,0,0.811,80.924,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Drake,God's Plan,2018,4.631,,1,,0.449,8.29E-05,0.357,77.169,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ed Sheeran,Perfect,2018,3.428,,2,,0.448,0,0.168,95.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lady Gaga & Bradley Cooper,Shallow,2018,3.248,,3,,0.385,0,0.323,95.799,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ariana Grande,"Thank U, Next",2018,3.154,,4,,0.653,0,0.412,106.966,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Childish Gambino,This Is America,2018,2.923,,5,,0.463,0,0.549,120.024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Clean Bandit & Demi Lovato,Solo,2018,2.793,,6,,0.636,6.66E-05,0.565,105.005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Camila Cabello & Young Thug,Havana,2018,2.745,,7,,0.523,3.56E-05,0.394,104.988,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kanye West & Lil Pump,I Love It,2018,2.544,,8,,0.522,0,0.329,104.053,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calvin Harris & Dua Lipa,One Kiss,2018,2.456,,9,,0.862,2.19E-05,0.592,123.994,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maroon 5 & Cardi B,Girls Like You,2018,2.267,,10,,0.541,0,0.488,124.959,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
